,name,longitude,latitude,time,temp,humidity,cloudiness,wind_speed
378,Broken Hill,141.45,-31.97,34200,84.2,7,0,13.87
379,Columbus,-84.99,32.46,-14400,77.88,73,1,3.94
380,Mount Isa,139.49,-20.73,36000,91.4,9,0,13.87
381,Santo Andre,-46.86,-0.91,-10800,74.26,88,35,2.77
382,Aswan,32.9,24.09,7200,74.19,32,0,9.24
383,Coruripe,-36.18,-10.12,-10800,68.93,96,0,5.37
384,Szczecin,14.55,53.43,7200,48.43,100,75,3.36
385,Ylivieska,24.53,64.07,10800,42.49,92,100,5.01
386,Poum,20.71,41.28,7200,51.54,78,0,2.64
387,Marzuq,46.47,14.4,10800,70.95,64,65,1.43
388,Jalu,21.55,29.03,7200,66.77,84,0,3.33
389,Sangar,127.47,63.92,32400,30.59,70,62,12.06
390,Biltine,20.93,14.53,3600,82.83,60,43,5.37
391,Careiro da Varzea,-59.81,-3.2,-14400,82.4,74,75,3.36
392,Aldan,125.39,58.61,32400,32.3,71,100,11.34
393,Caravelas,-39.27,-17.73,-10800,71.38,76,7,8.9
394,Peniche,-9.38,39.36,3600,59.95,93,20,5.82
395,Worland,-107.96,44.02,-21600,38.14,69,90,10.31
396,Opovo,20.43,45.05,7200,60.12,100,0,3.91
397,Truth or Consequences,-107.25,33.13,-21600,69.87,35,90,14.99
398,Guerrero Negro,-114.04,27.97,-21600,65.91,79,0,16.8
399,Suntar,117.65,62.16,32400,35.13,56,68,9.37
400,Requena,-1.1,39.49,7200,67.93,59,0,3.36
401,Ayorou,0.92,14.73,3600,87.54,38,100,11.86
402,Harstad,16.53,68.8,7200,41.95,52,53,44.96
403,Trairi,-39.27,-3.28,-10800,74.19,83,60,6.29
404,Sept-Iles,-66.38,50.2,-14400,32.94,98,90,8.05
405,Tortoli,9.66,39.93,7200,67.06,68,5,4.7
406,Santa Cruz,-36.02,-6.22,-10800,67.28,90,28,9.33
407,Rincon,-82.28,8.46,-18000,75.2,100,40,2.24
408,Zalantun,122.72,48.0,28800,54.55,70,100,15.3
409,Tecoanapa,-99.26,16.99,-18000,80.6,83,40,3.36
410,Pangnirtung,-65.72,66.15,-14400,26.85,87,100,1.54
411,Copiapo,-70.33,-27.37,-10800,53.6,76,80,10.29
412,Zambezi,23.12,-13.55,7200,57.72,27,100,2.15
413,Thomasville,-80.08,35.88,-14400,74.79,94,1,3.76
414,Batagay-Alyta,130.41,67.8,32400,13.08,72,100,6.11
415,Beyneu,55.19,45.32,18000,52.77,58,100,10.2
416,Belaya Kholunitsa,50.85,58.84,10800,52.1,92,100,9.69
417,Waterloo,-13.07,8.34,0,78.8,83,75,8.05
418,Ternate,120.72,14.29,28800,84.06,83,90,8.05
419,Ust-Omchug,149.63,61.13,39600,23.0,91,100,1.74
420,Byron Bay,153.62,-28.65,36000,73.78,46,40,10.29
421,Riyadh,46.72,24.63,10800,77.0,31,0,4.12
